BatV1, BatI1, BatEn1, PanelV1, PanelP1, BatV2,BatI2, BatEn2, PanelV2, PanelP2, Hours
13.47, 3.44, 0.02, 19.01, 47.00, 0.2031
12.49, 1.40, 0.02, 18.95, 54.00, 0.2059
13.47, 3.43, 0.02, 18.98, 47.00, 0.2059
12.49, 1.35, 0.02, 19.35, 54.00, 0.2087
13.47, 3.29, 0.02, 19.86, 46.00, 0.2087
12.49, 1.32, 0.02, 19.32, 54.00, 0.2114
13.47, 3.28, 0.02, 20.32, 45.00, 0.2114
12.49, 1.38, 0.02, 19.04, 54.00, 0.2142
13.47, 3.44, 0.02, 19.44, 47.00, 0.2142
12.49, 1.37, 0.02, 18.98, 54.00, 0.2170
13.47, 3.45, 0.02, 19.01, 47.00, 0.2170
12.49, 1.38, 0.02, 19.26, 54.00, 0.2198
13.47, 3.45, 0.02, 18.98, 47.00, 0.2198
12.51, 1.40, 0.02, 19.26, 54.00, 0.2226
13.47, 3.45, 0.02, 19.40, 47.00, 0.2226
12.51, 1.38, 0.02, 19.87, 54.00, 0.2253
13.47, 3.46, 0.02, 19.39, 47.00, 0.2253
12.49, 1.40, 0.02, 19.53, 54.00, 0.2281
13.47, 3.43, 0.02, 18.60, 47.00, 0.2281
12.51, 1.40, 0.02, 19.56, 54.00, 0.2309
13.47, 3.45, 0.02, 18.96, 47.00, 0.2309
12.51, 1.38, 0.02, 19.23, 54.00, 0.2337
13.47, 3.45, 0.02, 18.92, 47.00, 0.2337
12.51, 1.36, 0.02, 19.87, 53.00, 0.2364
13.47, 3.46, 0.02, 19.34, 47.00, 0.2364
12.49, 1.24, 0.01, 20.21, 53.00, 0.2392
13.47, 3.46, 0.01, 19.31, 47.00, 0.2392
12.49, 1.26, 0.01, 20.22, 53.00, 0.2420
13.47, 3.46, 0.01, 18.85, 47.00, 0.2420
12.53, 1.61, 0.02, 19.81, 56.00, 0.2448
13.47, 3.45, 0.02, 18.88, 47.00, 0.2448
12.51, 1.62, 0.02, 19.81, 56.00, 0.2475
13.47, 3.46, 0.02, 19.70, 48.00, 0.2475
12.53, 1.59, 0.02, 18.98, 56.00, 0.2503
13.47, 3.42, 0.02, 20.14, 48.00, 0.2503
12.51, 1.61, 0.02, 19.35, 56.00, 0.2531
13.47, 3.50, 0.02, 19.28, 48.00, 0.2531
12.51, 1.59, 0.02, 20.20, 57.00, 0.2559
13.47, 3.49, 0.02, 18.79, 48.00, 0.2559
12.53, 1.63, 0.02, 19.78, 57.00, 0.2587
13.47, 3.40, 0.02, 20.17, 48.00, 0.2587
12.52, 1.59, 0.02, 18.93, 57.00, 0.2614
13.47, 3.48, 0.02, 19.98, 48.00, 0.2614
12.53, 1.62, 0.02, 19.35, 57.00, 0.2642
13.47, 3.51, 0.02, 19.53, 48.00, 0.2642
12.53, 1.56, 0.02, 20.17, 57.00, 0.2670
13.47, 3.47, 0.02, 18.64, 48.00, 0.2670
12.53, 1.54, 0.02, 19.32, 57.00, 0.2698
13.47, 3.51, 0.02, 19.53, 48.00, 0.2698
12.53, 1.57, 0.02, 18.89, 57.00, 0.2725
13.47, 3.49, 0.02, 19.10, 48.00, 0.2725
12.53, 1.58, 0.02, 19.69, 57.00, 0.2753
13.48, 3.49, 0.02, 19.10, 48.00, 0.2753
12.53, 1.56, 0.02, 20.14, 56.00, 0.2781
13.47, 3.51, 0.02, 19.47, 48.00, 0.2781
12.53, 1.58, 0.02, 19.27, 56.00, 0.2809
13.49, 3.49, 0.02, 19.46, 48.00, 0.2809
12.53, 1.56, 0.02, 18.84, 56.00, 0.2837
13.49, 3.49, 0.02, 19.86, 48.00, 0.2837
12.53, 1.57, 0.02, 19.65, 56.00, 0.2864
13.49, 3.49, 0.02, 19.10, 48.00, 0.2864
12.53, 1.57, 0.02, 18.88, 56.00, 0.2892
13.48, 3.49, 0.02, 19.06, 48.00, 0.2892
12.53, 1.58, 0.02, 19.24, 56.00, 0.2920
13.49, 3.49, 0.02, 19.43, 48.00, 0.2920
12.53, 1.55, 0.02, 20.02, 56.00, 0.2948
13.49, 3.48, 0.02, 18.70, 48.00, 0.2948
12.51, 1.51, 0.02, 19.63, 56.00, 0.2976
13.48, 3.49, 0.02, 19.07, 48.00, 0.2976
12.55, 1.33, 0.02, 19.29, 53.00, 0.3003
13.47, 3.49, 0.02, 19.04, 48.00, 0.3003
12.55, 1.31, 0.02, 19.72, 53.00, 0.3031
13.48, 3.51, 0.02, 19.43, 48.00, 0.3031
12.55, 1.33, 0.02, 18.89, 53.00, 0.3059
13.48, 3.48, 0.02, 18.73, 48.00, 0.3059
12.55, 1.30, 0.02, 18.46, 53.00, 0.3087
13.47, 3.51, 0.02, 19.46, 48.00, 0.3087
12.55, 1.34, 0.02, 19.26, 53.00, 0.3114
13.47, 3.51, 0.02, 19.10, 48.00, 0.3114
12.55, 1.31, 0.02, 19.66, 53.00, 0.3142
13.47, 3.51, 0.02, 19.07, 48.00, 0.3142
12.55, 1.34, 0.02, 18.83, 53.00, 0.3170
13.49, 3.48, 0.02, 18.70, 48.00, 0.3170
12.55, 1.33, 0.02, 18.80, 53.00, 0.3198
13.47, 3.51, 0.02, 19.40, 48.00, 0.3198
12.55, 1.34, 0.02, 19.20, 53.00, 0.3225
13.48, 3.45, 0.02, 18.61, 48.00, 0.3225
12.55, 1.26, 0.01, 19.21, 53.00, 0.3253
13.49, 3.51, 0.01, 18.98, 48.00, 0.3253
12.55, 1.31, 0.02, 18.80, 53.00, 0.3281
13.49, 3.52, 0.02, 18.95, 48.00, 0.3281
12.55, 1.28, 0.02, 18.82, 53.00, 0.3309
13.47, 3.46, 0.02, 19.31, 47.00, 0.3309
12.55, 1.32, 0.02, 19.17, 53.00, 0.3337
13.47, 3.44, 0.02, 18.50, 47.00, 0.3337
12.55, 1.31, 0.02, 19.17, 53.00, 0.3364
13.47, 3.46, 0.02, 19.53, 47.00, 0.3364
12.55, 1.30, 0.02, 19.14, 53.00, 0.3392
13.47, 3.45, 0.02, 18.64, 47.00, 0.3392
12.55, 1.31, 0.02, 18.77, 53.00, 0.3420
13.47, 3.46, 0.02, 19.28, 47.00, 0.3420
12.55, 1.31, 0.02, 19.49, 53.00, 0.3448
13.47, 3.46, 0.02, 19.25, 47.00, 0.3448
12.55, 1.33, 0.02, 19.13, 53.00, 0.3475
13.47, 3.45, 0.02, 18.58, 47.00, 0.3475
12.55, 1.25, 0.01, 18.36, 53.00, 0.3503
13.49, 3.46, 0.01, 19.52, 47.00, 0.3503
12.55, 1.26, 0.01, 18.70, 53.00, 0.3531
13.47, 3.46, 0.01, 18.99, 47.00, 0.3531
12.55, 1.25, 0.01, 18.66, 52.00, 0.3559
13.47, 3.45, 0.01, 18.76, 47.00, 0.3559
12.57, 1.24, 0.01, 18.91, 53.00, 0.3587
13.48, 3.46, 0.01, 19.24, 47.00, 0.3587
12.55, 1.16, 0.01, 19.81, 53.00, 0.3614
13.47, 3.45, 0.01, 19.46, 47.00, 0.3614
12.57, 1.25, 0.01, 18.91, 53.00, 0.3642
13.49, 3.46, 0.01, 18.92, 47.00, 0.3642
12.57, 1.21, 0.01, 18.43, 53.00, 0.3670
13.49, 3.45, 0.01, 18.40, 47.00, 0.3670
12.57, 1.21, 0.01, 19.29, 53.00, 0.3698
13.47, 3.46, 0.01, 19.16, 48.00, 0.3698
12.57, 1.21, 0.01, 19.77, 53.00, 0.3726
13.49, 3.43, 0.01, 19.71, 47.00, 0.3726
12.57, 1.26, 0.01, 18.86, 53.00, 0.3753
13.47, 3.45, 0.01, 19.40, 47.00, 0.3753
12.57, 1.22, 0.01, 18.40, 53.00, 0.3781
13.47, 3.46, 0.01, 19.37, 47.00, 0.3781
12.57, 1.25, 0.01, 19.29, 53.00, 0.3809
13.48, 3.46, 0.01, 19.06, 47.00, 0.3809
12.57, 1.25, 0.01, 19.29, 53.00, 0.3837
13.48, 3.45, 0.01, 19.04, 47.00, 0.3837
12.58, 1.24, 0.01, 18.83, 53.00, 0.3864
13.47, 3.45, 0.01, 19.01, 47.00, 0.3864
12.58, 1.21, 0.01, 19.69, 53.00, 0.3892
13.47, 3.46, 0.01, 19.74, 48.00, 0.3892
12.58, 1.24, 0.01, 19.26, 53.00, 0.3920
13.47, 3.49, 0.01, 19.71, 48.00, 0.3920
12.58, 1.13, 0.01, 18.40, 53.00, 0.3948
13.47, 3.49, 0.01, 19.28, 48.00, 0.3948
12.58, 1.24, 0.01, 18.80, 53.00, 0.3975
13.47, 3.49, 0.01, 19.31, 48.00, 0.3975
12.58, 1.23, 0.01, 19.65, 53.00, 0.4003
13.48, 3.49, 0.01, 18.88, 48.00, 0.4003
12.58, 1.25, 0.01, 19.62, 53.00, 0.4031
13.47, 3.49, 0.01, 18.86, 48.00, 0.4031
12.58, 1.28, 0.02, 19.23, 53.00, 0.4059
13.49, 3.48, 0.02, 19.25, 48.00, 0.4059
12.58, 1.27, 0.01, 19.20, 53.00, 0.4087
13.49, 3.49, 0.01, 19.25, 48.00, 0.4087
12.58, 1.25, 0.01, 19.59, 53.00, 0.4114
13.49, 3.46, 0.01, 18.45, 48.00, 0.4114
12.58, 1.23, 0.01, 19.56, 53.00, 0.4142
13.48, 3.49, 0.01, 18.82, 48.00, 0.4142
12.60, 1.33, 0.02, 18.93, 54.00, 0.4170
13.49, 3.46, 0.02, 19.64, 48.00, 0.4170
12.60, 1.31, 0.02, 18.90, 53.00, 0.4198
13.47, 3.49, 0.02, 19.22, 48.00, 0.4198
12.60, 1.31, 0.02, 18.55, 53.00, 0.4226
13.49, 3.49, 0.02, 19.19, 48.00, 0.4226
12.60, 1.32, 0.02, 19.25, 53.00, 0.4253
13.49, 3.49, 0.02, 18.76, 48.00, 0.4253
12.60, 1.35, 0.02, 18.89, 53.00, 0.4281
13.48, 3.48, 0.02, 19.62, 48.00, 0.4281
12.60, 1.35, 0.02, 18.86, 53.00, 0.4309
13.49, 3.49, 0.02, 18.76, 48.00, 0.4309
12.60, 1.30, 0.02, 19.60, 53.00, 0.4337
13.49, 3.51, 0.02, 19.16, 48.00, 0.4337
12.60, 1.33, 0.02, 19.23, 53.00, 0.4364
13.49, 3.51, 0.02, 19.19, 48.00, 0.4364
12.60, 1.31, 0.02, 18.46, 53.00, 0.4392
13.48, 3.51, 0.02, 18.76, 48.00, 0.4392
12.60, 1.24, 0.01, 18.80, 53.00, 0.4420
13.49, 3.49, 0.01, 19.54, 48.00, 0.4420
12.58, 1.07, 0.01, 18.80, 51.00, 0.4448
13.48, 3.51, 0.01, 19.13, 48.00, 0.4448
12.58, 0.98, 0.01, 19.14, 50.00, 0.4476
13.47, 3.51, 0.01, 19.13, 48.00, 0.4476
12.56, 0.24, 0.00, 19.07, 42.00, 0.4503
13.48, 3.49, 0.00, 19.12, 48.00, 0.4503
12.56, 0.71, 0.01, 19.72, 42.00, 0.4531
13.46, 2.72, 0.01, 18.79, 40.00, 0.4531
12.56, 0.71, 0.01, 18.78, 46.00, 0.4559
13.43, 2.46, 0.01, 19.13, 34.00, 0.4559
12.58, 0.91, 0.01, 19.96, 47.00, 0.4587
13.43, 2.32, 0.01, 18.37, 33.00, 0.4587
12.58, 1.21, 0.01, 17.94, 51.00, 0.4614
13.40, 1.50, 0.01, 18.61, 24.00, 0.4614
12.60, 1.24, 0.01, 18.51, 52.00, 0.4642
13.38, 1.34, 0.01, 19.61, 18.00, 0.4642
12.60, 1.26, 0.01, 19.05, 52.00, 0.4670
13.40, 1.52, 0.01, 18.79, 20.00, 0.4670
12.58, 1.22, 0.01, 19.38, 52.00, 0.4698
13.40, 1.87, 0.01, 16.20, 24.00, 0.4698
12.60, 1.41, 0.02, 19.51, 55.00, 0.4725
13.41, 2.08, 0.02, 16.20, 28.00, 0.4725
12.60, 1.43, 0.02, 19.53, 55.00, 0.4753
13.41, 2.24, 0.02, 18.61, 30.00, 0.4753
12.60, 1.34, 0.02, 19.90, 55.00, 0.4781
13.41, 2.08, 0.02, 18.59, 29.00, 0.4781
12.60, 1.32, 0.02, 19.91, 55.00, 0.4809
13.41, 1.99, 0.02, 18.95, 28.00, 0.4809
12.62, 1.45, 0.02, 19.50, 55.00, 0.4837
